,x
1033,15.45
1034,13.73
1035,15.35
1036,58.16
1037,16.24
1038,14.95
1039,16.57
1040,18.01
1041,17.97
1042,21.87
1043,18.46
1044,17.07
1045,33.23
1046,18.09
1047,34.33
1048,11.81
1049,26.59
1050,31.56
1051,16.17
1052,32.68
1053,20.48
1054,24.35
1055,19.85
1056,18.46
1057,14.15
1058,22.64
1059,28.54
1060,15.59
1061,17.19
1062,16.36
1063,18.7
1064,24.16
1065,14.37
1066,24.42
1067,22.91
1068,19.68
1069,18.35
1070,39.35
1071,14.67
1072,18.74
1073,28.34
1074,14.83
1075,20.4
1076,13.29
1077,20.58
1078,14.33
1079,23.96
1080,32.34
1081,23.67
1082,21.81
1083,31.87
1084,15.47
1085,16.88
1086,25.46
1087,13.02
1088,18.65
1089,12.98
1090,14.73
1091,39.22
1092,14.5
1093,16.7
1094,15.98
1095,19.8
1096,24.04
1097,14.93
1098,14.91
1099,17.8
1100,16.71
1101,21.87
1102,20.85
1103,22.68
1104,15.61
1105,67.25
1106,17.59
1107,12.96
1108,25.33
1109,16.66
1110,32.02
1111,23.77
1112,21.09
1113,15.81
1114,54.92
1115,31.79
1116,14.16
1117,17.44
1118,18.51
1119,21.56
1120,21.44
1121,41.17
1122,20.99
1123,17.0
1124,23.02
1125,20.0
1126,16.35
1127,52.94
1128,12.68
1129,18.57
1130,17.89
1131,15.51
1132,22.98
1133,13.27
1134,23.8
1135,26.77
1136,10.63
1137,15.81
1138,18.22
1139,30.22
1140,17.66
1141,31.02
1142,25.78
1143,13.89
1144,12.95
1145,16.5
1146,28.67
1147,17.86
1148,14.28
1149,16.12
1150,21.34
1151,16.97
1152,34.07
1153,49.21
1154,24.35
1155,40.83
1156,18.14
1157,16.86
1158,23.22
1159,15.66
1160,10.92
1161,11.94
1162,16.48
1163,16.66
1164,21.75
1165,29.89
1166,18.18
1167,20.25
1168,18.08
1169,11.85
1170,25.21
1171,27.49
1172,29.54
1173,12.47
1174,48.94
1175,14.46
1176,13.95
1177,28.61
1178,43.26
1179,19.92
1180,58.26
1181,13.35
1182,31.17
1183,18.1
1184,22.13
1185,25.07
1186,22.81
1187,27.62
1188,18.49
1189,24.19
1190,17.71
1191,24.33
1192,19.59
1193,19.83
1194,17.59
1195,12.84
1196,14.35
1197,15.58
1198,45.62
1199,26.48
1200,20.66
1201,27.16
1202,14.68
1203,13.81
1204,24.38
1205,16.15
1206,24.61
1207,16.69
1208,15.61
1209,15.88
1210,26.72
1211,17.03
1212,16.64
1213,16.36
1214,14.86
1215,39.97
1216,17.79
1217,20.42
1218,26.24
1219,16.59
1220,16.1
1221,40.84
1222,22.17
1223,13.76
1224,13.9
1225,21.97
1226,20.22
1227,45.32
1228,24.58
1229,22.02
1230,21.99
1231,17.96
1232,13.66
1233,15.31
1234,15.14
1235,18.85
1236,27.63
1237,19.87
1238,19.47
1239,19.82
1240,20.9
1241,19.97
1242,11.85
1243,27.27
1244,14.78
1245,18.69
1246,12.73
1247,19.24
1248,16.33
1249,25.93
1250,27.19
1251,36.3
1252,25.21
1253,28.81
1254,16.79
1255,18.19
1256,13.69
1257,18.34
1258,21.18
1259,51.85
1260,12.11
1261,12.49
1262,21.71
1263,16.66
1264,21.32
1265,20.62
1266,15.73
1267,60.9
1268,13.26
1269,24.17
1270,13.23
1271,15.46
1272,36.5
1273,55.02
1274,14.5
1275,13.01
1276,10.88
1277,22.52
1278,24.12
1279,27.94
1280,15.29
1281,12.73
1282,99.52
1283,13.34
1284,20.13
1285,17.01
1286,13.29
1287,17.33
1288,11.56
1289,21.54
1290,23.82
1291,17.84
1292,12.76
1293,20.61
1294,17.85
1295,18.11
1296,24.03
1297,12.26
1298,17.7
1299,13.32
1300,24.53
1301,26.47
1302,33.3
1303,31.71
1304,21.27
1305,32.22
1306,23.55
1307,30.0
1308,24.44
1309,30.97
1310,28.22
1311,24.8
1312,28.57
1313,26.07
1314,33.01
1315,26.4
1316,31.22
1317,36.16
1318,26.35
1319,27.48
1320,28.34
1321,32.73
1322,29.75
1323,22.36
1324,29.83
1325,28.73
1326,24.48
1327,29.52
1328,26.45
1329,25.76
1330,26.28
1331,25.23
1332,28.29
1333,30.61
1334,27.08
1335,31.7
1336,27.82
1337,26.7
1338,31.43
1339,28.67
1340,33.17
1341,30.34
1342,27.61
1343,26.89
1344,24.95
1345,38.45
1346,27.88
1347,27.0
1348,28.53
1349,25.49
1350,31.03
1351,30.42
1352,23.72
1353,25.55
1354,33.04
1355,22.82
1356,24.42
1357,24.97
1358,31.18
1359,25.71
1360,28.63
1361,28.31
1362,25.57
1363,25.53
1364,23.01
1365,29.7
1366,25.41
1367,29.57
1368,28.01
1369,28.11
1370,26.5
1371,24.46
1372,31.44
1373,27.18
1374,24.77
1375,23.87
1376,29.96
1377,25.92
1378,27.43
1379,28.94
1380,25.09
1381,25.18
1382,31.47
1383,28.83
1384,31.67
1385,26.65
1386,28.13
1387,26.19
1388,35.08
1389,33.44
1390,24.9
1391,22.94
1392,35.42
1393,31.62
1394,30.07
1395,30.1
1396,27.57
1397,27.93
1398,25.05
1399,33.42
1400,29.48
1401,32.18
1402,33.47
1403,30.77
1404,32.27
1405,25.63
1406,21.43
1407,31.57
1408,25.19
1409,21.1
1410,29.01
1411,34.94
1412,29.2
1413,29.74
1414,28.48
1415,27.69
1416,31.55
1417,31.9
1418,23.93
1419,30.43
1420,29.3
1421,25.03
1422,21.99
1423,25.74
1424,26.28
1425,30.13
1426,24.3
1427,22.19
1428,27.59
1429,22.71
1430,26.72
1431,31.28
1432,28.97
1433,28.39
1434,32.95
1435,25.5
1436,28.13
1437,23.2
1438,29.0
1439,25.15
1440,22.28
1441,25.46
1442,32.46
1443,28.58
1444,34.18
1445,29.87
1446,28.89
1447,31.82
1448,36.25
1449,31.69
1450,22.41
1451,29.63
1452,26.93
1453,24.11
1454,32.62
1455,32.06
1456,33.1
1457,37.68
1458,30.76
1459,29.79
1460,27.93
1461,34.76
1462,29.48
1463,30.45
1464,25.76
1465,30.86
1466,24.68
1467,29.35
1468,24.6
1469,20.68
1470,24.55
1471,23.12
1472,24.84
1473,29.81
1474,27.1
1475,28.04
1476,28.8
1477,31.49
1478,25.61
1479,24.31
1480,28.98
1481,28.98
1482,28.62
1483,22.2
1484,28.27
1485,27.52
1486,29.93
1487,27.93
1488,25.2
1489,26.3
1490,26.31
1491,29.71
1492,25.99
1493,24.01
1494,30.09
1495,31.74
1496,24.85
1497,23.76
1498,26.25
1499,27.78
1500,28.84
1501,24.55
1502,32.56
1503,26.8
1504,35.48
1505,26.45
1506,28.41
1507,30.92
1508,23.25
1509,32.53
1510,23.14
1511,30.14
1512,27.39
1513,21.32
1514,24.37
1515,33.84
1516,22.24
1517,30.34
1518,22.72
1519,29.63
1520,33.01
1521,31.81
1522,25.42
1523,20.2
1524,24.81
1525,34.04
1526,30.56
1527,28.16
1528,23.26
1529,24.26
1530,29.22
1531,28.1
1532,25.34
1533,28.99
1534,23.78
1535,29.49
