,x
4139,38.5
4140,11.71
4141,88.09
4142,7.73
4143,5.5
4144,15.03
4145,18.32
4146,9.27
4147,11.52
4148,47.61
4149,21.62
4150,16.91
4151,40.4
4152,24.72
4153,67.52
4154,75.43
4155,20.45
4156,24.01
4157,20.09
4158,11.16
4159,28.94
4160,14.12
4161,18.37
4162,28.55
4163,31.35
4164,23.85
4165,8.36
4166,16.92
4167,41.53
4168,24.52
4169,8.51
4170,30.54
4171,22.77
4172,10.34
4173,26.64
4174,20.2
4175,21.72
4176,78.77
4177,17.87
4178,23.76
4179,26.15
4180,19.59
4181,44.3
4182,46.09
4183,30.0
4184,56.67
4185,37.8
4186,9.08
4187,8.17
4188,16.6
4189,12.1
4190,16.49
4191,28.85
4192,15.84
4193,25.44
4194,26.55
4195,22.34
4196,7.26
4197,56.97
4198,16.52
4199,38.61
4200,25.38
4201,33.47
4202,20.47
4203,14.59
4204,14.61
4205,46.28
4206,16.06
4207,116.77
4208,26.33
4209,15.28
4210,26.17
4211,29.93
4212,20.31
4213,18.59
4214,15.01
4215,15.54
4216,75.91
4217,25.51
4218,22.59
4219,8.09
4220,30.2
4221,31.41
4222,19.62
4223,8.81
4224,21.03
4225,21.59
4226,28.31
4227,11.68
4228,33.8
4229,15.94
4230,45.89
4231,15.17
4232,50.45
4233,21.62
4234,39.37
4235,33.45
4236,10.57
4237,18.44
4238,65.62
4239,25.24
4240,38.62
4241,34.94
4242,14.87
4243,49.65
4244,52.01
4245,19.13
4246,55.74
4247,10.38
4248,13.52
4249,21.84
4250,21.45
4251,7.1
4252,48.12
4253,5.72
4254,17.14
4255,25.25
4256,40.41
4257,18.73
4258,12.0
4259,22.37
4260,36.19
4261,61.77
4262,36.51
4263,22.76
4264,31.46
4265,27.14
4266,27.12
4267,25.73
4268,17.64
4269,13.99
4270,12.15
4271,15.02
4272,16.98
4273,40.72
4274,16.6
4275,30.12
4276,23.69
4277,18.48
4278,24.14
4279,60.24
